Row Labels,Max of Federal Loan 3-Year Default Rate,Max of 2012 4-Year Grad Rate,Max of % Pell Recipients Among Freshmen,Max of Estimated Median SAT / ACT,Max of Average Student Loan (all sources),Max of Average Net Price After Grants,"Max of % Degrees Awarded in Science, Technology, Engineering, and Math",Max of % Admitted,Max of Average High School GPA Among College Freshmen
Felician College,0.103,0.231,0.534,870,6265,21142,0.085,0.814,3.1
Fitchburg State University,0.097,0.236,0.353,1010,5565,11686,0.102,0.684,3.1
Central Washington University,0.074,0.246,0.342,1005,5740,14532,0.126,0.784,3.1
Roosevelt University,0.075,0.269,0.464,1030,6826,27723,0.079,0.738,3.1
Bridgewater State University,0.09,0.279,0.287,1019,6361,14995,0.077,0.696,3.1
Kutztown University of Pennsylvania,0.073,0.317,0.331,960,7852,14191,0.09,0.677,3.1
Eastern Illinois University,0.067,0.331,0.408,990,11204,15528,0.092,0.679,3.1
Johnson & Wales University-Charlotte,0.146,0.347,0.56,0,8048,24596,0,0.645,3.1
East Stroudsburg University of Pennsylvania,0.063,0.366,0.326,985,7684,13338,0.102,0.628,3.1
Maharishi University of Management,0.079,0.385,0.409,0,7663,17186,0.143,0.411,3.1
California Maritime Academy,0.091,0.393,0.254,1070,6821,13860,0.351,0.691,3.1
Mount Saint Mary College,0.062,0.405,0.314,1005,7069,25499,0.132,0.81,3.1
Johnson & Wales University-Providence,0.146,0.413,0.375,0,8511,26273,0.064,0.765,3.1
Warner Pacific College,0.082,0.419,0.526,985,6435,20655,0.117,0.612,3.1
Art Academy of Cincinnati,0.075,0.444,0.492,1010,6907,18353,0,0.373,3.1
Keuka College,0.077,0.457,0.477,0,8531,22713,0.02,0.761,3.1
Goucher College,0.037,0.567,0.245,1150,6602,28337,0.117,0.728,3.1
Lancaster Bible College,0.052,0.578,0.39,990,6549,19491,0,0.962,3.1
Endicott College,0.034,0.676,0.188,1080,9248,31386,0.039,0.59,3.1
Dakota State University,0.108,0.142,0.46,1010,6293,12142,0.406,0.916,3.09
Northern State University,0.115,0.166,0.394,1010,6155,13006,0.12,0.937,3.09
University of Toledo,0.134,0.224,0.394,0,6223,13298,0.224,1,3.09
Northwood University-Florida,0.124,0.276,0.366,915,5714,17906,0.005,0.463,3.09
Marymount University,0.033,0.373,0.279,985,6651,22882,0.067,0.778,3.09
Notre Dame de Namur University,0.083,0.381,0.517,950,6902,26837,0.148,0.71,3.09
Westfield State University,0.058,0.441,0.291,1015,6435,13466,0.07,0.612,3.09
Alfred University,0.082,0.467,0.43,1080,8214,22847,0.234,0.723,3.09
School of Visual Arts,0.091,0.593,0.294,1030,11015,39656,0.072,0.737,3.09
Indiana University-Purdue University-Fort Wayne,0.11,0.044,0.506,965,5523,12481,0.156,0.91,3.08
Cameron University,0.189,0.07,0.574,0,5479,8647,0.157,1,3.08
University of Southern Indiana,0.108,0.164,0.397,982,6581,12495,0.096,0.716,3.08
Salem State University,0.093,0.2,0.383,990,6571,14057,0.07,0.574,3.08
Dakota Wesleyan University,0.119,0.327,0.479,990,7869,17441,0.114,0.76,3.08
Belmont Abbey College,0.146,0.337,0.364,1000,5591,22520,0.039,0.643,3.08
Pennsylvania State University-Penn State Harrisburg,0.08,0.359,0.325,1010,8489,17589,0.251,0.829,3.08
The Evergreen State College,0.107,0.393,0.313,1095,5462,12736,0,0.957,3.08
Oak Hills Christian College,0.18,0.091,0.708,1030,7976,14609,0,0.593,3.07
University of North Alabama,0.166,0.11,0.61,1010,4393,9189,0.061,0.876,3.07
Inter American University of Puerto Rico-Metro,0.289,0.115,0.838,0,3346,8165,0.103,0.248,3.07
Valdosta State University,0.107,0.15,0.512,1005,5969,14147,0.086,0.585,3.07
Thiel College,0.142,0.236,0.499,935,7902,20031,0.247,0.637,3.07
Cincinnati Christian University,0.063,0.238,0.495,990,5238,16399,0,0.745,3.07
Cedar Crest College,0.077,0.488,0.581,1000,10505,18329,0.144,0.623,3.07
Truett-McConnell College,0.17,0.069,0.424,925,5354,16677,0,0.83,3.06
University of Wisconsin-Milwaukee,0.067,0.139,0.368,1010,7012,14469,0.122,0.9,3.06
University of West Georgia,0.092,0.15,0.535,980,5377,11218,0.11,0.548,3.06
University of Rio Grande,0.167,0.152,0.702,0,7167,25554,0.094,1,3.06
Johnson & Wales University-North Miami,0.146,0.313,0.584,0,7712,23321,0,0.633,3.06
Worcester State University,0.076,0.325,0.314,1010,6912,13099,0.124,0.654,3.06
Johnson University,0.068,0.511,0.494,1070,5815,13391,0,0.613,3.06
Cleveland Institute of Art,0.043,0.519,0.578,1010,9317,27888,0,0.707,3.06
California State University-Dominguez Hills,0.092,0.042,0.755,845,4491,2990,0.043,0.579,3.05
West Virginia State University,0.164,0.07,0.611,930,5733,6874,0.046,1,3.05
Indiana University-Southeast,0.127,0.088,0.445,945,5246,10261,0.088,0.769,3.05
Sul Ross State University,0.201,0.116,0.657,0,5709,9821,0.105,1,3.05
Southeastern Bible College,0.171,0.231,0.429,1010,5758,11663,0,1,3.05
Cabrini College,0.07,0.439,0.372,915,13072,28400,0.057,0.718,3.05
Sierra Nevada College,0.062,0.463,0.363,985,6210,27501,0.061,0.585,3.05
Meredith College,0.044,0.482,0.328,1017,7408,23316,0.143,0.61,3.05
California Christian College,0.111,0,1,0,5443,14059,0,0.923,3.04
Indiana University-East,0.2,0.047,0.543,915,4929,8549,0.049,0.636,3.04
Brewton-Parker College,0.19,0.124,0.628,895,5362,7467,0.087,0.945,3.04
Spalding University,0.092,0.163,0.645,890,5675,16581,0,0.428,3.04
Reinhardt University,0.103,0.18,0.377,960,7969,20856,0.038,0.579,3.04
Western State Colorado University,0.084,0.182,0.325,1010,5371,12578,0.117,0.925,3.04
Indiana State University,0.111,0.216,0.512,920,6554,11183,0.14,0.852,3.04
Pennsylvania State University-Penn State Abington,0.08,0.236,0.537,935,5990,11298,0.097,0.79,3.04
Ohio Dominican University,0.083,0.306,0.507,1010,6684,20980,0.075,0.61,3.04
Massachusetts College of Liberal Arts,0.08,0.314,0.428,1000,5524,12208,0.087,0.673,3.04
Barton College,0.091,0.361,0.528,910,6208,21110,0.063,0.52,3.04
Augsburg College,0.062,0.412,0.479,1050,7961,22130,0.104,0.511,3.04
Keene State College,0.05,0.491,0.246,1000,8239,17177,0.164,0.748,3.04
University of New Orleans,0.1,0.103,0.495,1010,4792,8509,0.181,0.555,3.03
Columbus State University,0.131,0.134,0.516,970,5877,11027,0.091,0.545,3.03
Grace Bible College,0.019,0.195,0.695,0,3379,15663,0,0.809,3.03
Prescott College,0.102,0.196,0.339,1130,7089,23483,0.064,0.825,3.03
Pennsylvania State University-Penn State Altoona,0.08,0.445,0.315,1000,7898,19539,0.176,0.773,3.03
Brescia University,0.139,0.136,0.507,1010,4546,10442,0.065,0.479,3.02
York College,0.114,0.138,0.509,990,6836,17134,0.099,0.843,3.02
Wright State University-Main Campus,0.095,0.194,0.478,0,6642,17090,0.178,1,3.02
Husson University,0.123,0.23,0.481,945,7525,15802,0.062,0.751,3.02
Valley City State University,0.057,0.249,0.354,950,5512,11404,0.067,0.866,3.02
Defiance College,0.102,0.41,0.509,970,7690,22613,0.123,0.673,3.02
Watkins College of Art Design & Film,0.08,0.115,0.411,1030,3273,26471,0,0.776,3.01
Winston-Salem State University,0.163,0.148,0.721,890,5812,7702,0.065,0.62,3.01
North Carolina Central University,0.17,0.149,0.778,850,6580,8757,0.089,0.605,3.01
Tiffin University,0.104,0.248,0.673,970,7297,23378,0,0.51,3.01
Pennsylvania State University-Penn State Wilkes-Barre,0.08,0.256,0.398,955,6057,13639,0.476,0.924,3.01
Utica College,0.09,0.331,0.421,960,12933,24432,0.105,0.783,3.01
Waldorf College,0.074,0.374,0.497,950,6841,18353,0.01,0.485,3.01
Vermont Technical College,0.071,0.387,0.428,980,6995,15530,0.545,0.807,3.01
Suffolk University,0.064,0.404,0.283,1025,8340,28579,0.068,0.79,3.01
Pennsylvania College of Art and Design,0.1,0.492,0.369,0,7685,19682,0,0.392,3.01
Oregon College of Art and Craft,0.205,0,0.409,0,4117,23135,0,0.879,3
Bluefield College,0.092,0.019,0.549,907,9531,21052,0.019,0.488,3
St. Andrews University,0.176,0.031,0.38,0,6369,22527,0.15,1,3
Inter American University of Puerto Rico-Bayamon,0.289,0.075,0.907,0,3091,5758,0.34,0.389,3
Indiana University-Kokomo,0.127,0.081,0.423,955,5330,10058,0.028,0.701,3
Huston-Tillotson University,0.268,0.097,0.729,815,6514,15655,0.131,0.9,3
Globe Institute of Technology,0.359,0.106,0.968,0,3948,19247,0.222,1,3
Beulah Heights University,0.147,0.108,0.377,0,6894,8572,0,1,3
Morgan State University,0.243,0.121,0.596,900,7031,13006,0.201,0.495,3
Colorado Mesa University,0.147,0.132,0.455,970,8824,14480,0.117,0.799,3
Dillard University,0.123,0.135,0.826,870,10087,15804,0.113,0.488,3
California State University-East Bay,0.102,0.149,0.547,920,5545,10606,0.082,0.22,3
The University of Montana-Western,0.126,0.153,0.506,0,7711,8991,0.016,1,3
Colorado State University-Pueblo,0.155,0.178,0.526,970,4991,10890,0.13,0.933,3
CUNY Hunter College,0.045,0.192,0.494,1150,4804,7260,0.098,0.251,3
Kean University,0.086,0.192,0.468,930,9179,18021,0.095,0.701,3
Rochester College,0.098,0.198,0.511,990,7092,15497,0,0.632,3
San Francisco Art Institute,0.101,0.212,0.195,1025,5184,39986,0,0.992,3
University of Wisconsin-River Falls,0.04,0.218,0.331,1030,6575,11792,0.146,0.898,3
Clark Atlanta University,0.143,0.237,0.756,850,8015,25847,0.107,0.717,3
Castleton State College,0.081,0.241,0.336,965,7901,14234,0.065,0.863,3
Urbana University,0.157,0.256,0.452,0,6562,18628,0.027,1,3
Claflin University,0.122,0.262,0.914,883,6773,15558,0.126,0.346,3
Long Island University-C W Post Campus,0.092,0.273,0.381,980,7339,24522,0.049,0.807,3
University of Dubuque,0.134,0.301,0.51,970,10431,13873,0.101,0.798,3
Tougaloo College,0.133,0.305,0.784,845,6646,8779,0.192,0.35,3
Green Mountain College,0.13,0.31,0.421,1061,7191,24145,0.072,0.668,3
Lakeland College,0.07,0.312,0.431,1010,6414,17764,0.131,0.821,3
Eastern Nazarene College,0.065,0.368,0.466,985,7512,20073,0.14,0.627,3
Hilbert College,0.145,0.38,0.596,0,6629,15705,0.027,0.691,3
Rivier University,0.059,0.39,0.347,920,9329,23216,0.042,0.806,3
Colby-Sawyer College,0.063,0.432,0.377,0,12505,24576,0.054,0.829,3
Saint Joseph's College of Maine,0.066,0.453,0.415,960,9385,25290,0.066,0.881,3
Manhattanville College,0.074,0.54,0.342,0,7731,23882,0.07,0.602,3
Wheelock College,0.049,0.542,0.309,965,10573,27254,0.033,0.707,3
Southern New Hampshire University,0.092,0.553,0.358,980,7929,24652,0.037,0.836,3
Adams State University,0.157,0.079,0.542,930,5310,10695,0.083,0.637,2.99
University of Sacred Heart,0.243,0.087,0.818,0,3653,7285,0.11,0.37,2.99
North Carolina Wesleyan College,0.219,0.145,0.576,885,6800,17708,0.117,0.625,2.99
Iowa Wesleyan College,0.184,0.195,0.54,950,7076,19900,0.078,0.643,2.99
Oakwood University,0.214,0.197,0.451,910,8288,25949,0.18,0.436,2.99
Pennsylvania State University-Penn State Fayette- Eberly Campus,0.08,0.223,0.535,918,6294,13976,0,0.892,2.99
Western Illinois University,0.077,0.306,0.463,970,7249,15088,0.072,0.656,2.99
Eastern Connecticut State University,0.069,0.347,0.263,1005,7328,15476,0.124,0.704,2.99
University of Maine at Fort Kent,0.126,0.021,0.472,0,6212,11041,0.04,0.867,2.98
Lewis-Clark State College,0.173,0.113,0.594,930,6034,13485,0.109,0.634,2.98
Inter American University of Puerto Rico-San German,0.289,0.148,0.902,0,2024,5550,0.242,0.863,2.98
CUNY College of Staten Island,0.122,0.242,0.552,1005,4838,6773,0.092,0.899,2.98
Columbia College-Chicago,0.148,0.287,0.403,0,6948,26414,0,1,2.98
Silver Lake College of the Holy Family,0.057,0.323,0.544,910,6089,14489,0.104,0.597,2.98
Concordia University-Chicago,0.05,0.325,0.467,1030,6509,18014,0.067,0.566,2.98
Holy Family University,0.057,0.431,0.438,930,7803,14143,0.055,0.704,2.98
Wentworth Institute of Technology,0.068,0.471,0.322,1080,7763,27837,0.391,0.614,2.98
New York School of Interior Design,0.086,0,0.636,885,5313,27261,0,0.319,2.97
New Mexico Highlands University,0.111,0.048,0.623,0,4018,10842,0.069,1,2.97
University of Akron Main Campus,0.149,0.147,0.503,0,6611,15894,0.206,1,2.97
Central Connecticut State University,0.07,0.212,0.336,1005,6350,14685,0.164,0.631,2.97
Ohio Valley University,0.089,0.263,0.524,990,8555,14943,0.041,0.456,2.97
New Hampshire Institute of Art,0.054,0.564,0.566,0,7219,24552,0,1,2.97
Metropolitan State University of Denver,0.147,0.06,0.437,970,5241,9470,0.11,0.701,2.96
Villa Maria College,0.213,0.333,0.702,0,7158,13901,0,0.703,2.96
Lourdes University,0.149,0.049,0.615,0,6355,15817,0.011,1,2.95
University of Southern Maine,0.094,0.095,0.427,990,7468,18177,0.101,0.783,2.95
Harrington College of Design,0.136,0.138,0.423,0,8076,23481,0,1,2.95
Pennsylvania State University-Penn State New Kensington,0.08,0.311,0.471,965,5849,13238,0.386,0.851,2.95
Pennsylvania State University-Penn State Berks,0.08,0.333,0.324,975,6983,18128,0.182,0.815,2.95
Iona College,0.07,0.56,0.307,985,7344,26730,0.057,0.723,2.95
University of Alaska Southeast,0.103,0.038,0.335,0,5369,8827,0.085,1,2.94
Indiana University-South Bend,0.15,0.044,0.462,955,5453,10836,0.084,0.707,2.94
Purdue University-North Central Campus,0.165,0.052,0.427,975,4955,7210,0.199,0.709,2.94
Prairie View A & M University,0.235,0.098,0.735,845,6294,8448,0.225,0.397,2.94
Albany State University,0.164,0.105,0.845,845,6698,12468,0.1,0.55,2.94
Delaware State University,0.136,0.154,0.61,870,7504,13335,0.081,0.427,2.94
South Carolina State University,0.199,0.154,0.748,845,7191,17592,0.225,0.958,2.94
Holy Cross College,0.113,0.168,0.4,995,7102,21602,0,0.84,2.94
St. Thomas University,0.094,0.302,0.596,879,7615,17563,0.072,0.627,2.94
Tennessee State University,0.135,0.097,0.782,0,6609,8264,0.142,1,2.93
Brevard College,0.072,0.263,0.442,945,5749,19240,0.05,0.562,2.93
Montserrat College of Art,0.127,0.431,0.403,0,8996,24608,0,1,2.93
Palmer College of Chiropractic-Davenport,0.034,0,0.667,0,11248,19166,0,0.444,2.92
Fayetteville State University,0.172,0.12,0.781,840,4810,4906,0.079,0.61,2.92
Mount Mary College,0.084,0.168,0.649,990,5432,13586,0.06,0.534,2.92
Elizabeth City State University,0.221,0.169,0.742,835,4594,1323,0.158,0.71,2.92
Wesley College,0.197,0.174,0.518,840,10772,23349,0.029,0.203,2.92
Pennsylvania State University-Penn State York,0.08,0.241,0.393,980,6209,12959,0.279,0.844,2.92
Pennsylvania State University-Penn State Mont Alto,0.08,0.25,0.409,940,7681,18908,0.067,0.862,2.92
Alcorn State University,0.16,0.146,0.551,850,6564,13057,0.203,0.364,2.91
Philander Smith College,0.203,0.2,0.875,870,7228,13948,0.212,0.68,2.91
Life Pacific College,0.092,0.203,0.506,929,5981,15227,0,0.956,2.91
Johnson C Smith University,0.235,0.272,0.657,855,7398,17428,0.2,0.289,2.91
Presentation College,0.107,0.338,0.535,910,7918,19810,0.018,0.75,2.91
Boston Architectural College,0.096,0,0.414,0,6603,24395,0,1,2.9
Texas College,0.346,0.049,0.967,0,6269,13889,0.057,1,2.9
Grambling State University,0.176,0.097,0.816,870,7092,13644,0.178,0.551,2.9
Southern University and A & M College,0.11,0.116,0.723,890,4532,12183,0.159,0.429,2.9
Stillman College,0.199,0.145,0.725,850,7535,17866,0.178,0.465,2.9
Bethune-Cookman University,0.206,0.158,0.809,850,6637,17325,0.077,0.67,2.9
Lincoln University of Pennsylvania,0.249,0.206,0.639,855,7233,12983,0.158,0.356,2.9
Barry University,0.059,0.212,0.586,925,6397,20464,0.12,0.587,2.9
Pennsylvania State University-Penn State Beaver,0.08,0.24,0.44,960,6146,16139,0.2,0.916,2.9
Goldey-Beacom College,0.085,0.259,0.482,0,5901,19891,0,0.748,2.9
Davis & Elkins College,0.179,0.316,0.476,930,6334,15749,0.118,0.53,2.9
Lesley University,0.04,0.333,0.284,1050,8685,32302,0.033,0.664,2.9
College of Mount Saint Vincent,0.068,0.408,0.589,925,6565,18515,0.055,0.666,2.9
LIM College,0.089,0.42,0.332,950,7988,36541,0,0.729,2.9
Morrisville State College,0.19,0.455,0.642,945,6365,15216,0.173,0.656,2.9
Burlington College,0.086,0,0.571,0,6898,23991,0,0.848,2.89
Pennsylvania State University-Penn State Brandywine,0.08,0.157,0.36,975,6020,13192,0.098,0.813,2.89
Cogswell College,0.06,0.176,0.455,1075,3594,24128,0.111,0.541,2.89
Finlandia University,0.133,0.187,0.653,0,7831,17485,0,0.664,2.89
Youngstown State University,0.184,0.097,0.581,0,6178,11459,0.209,1,2.88
Mid-Atlantic Christian University,0.074,0.111,0.704,960,6517,16900,0,0.394,2.88
William Penn University,0.168,0.12,0.56,910,7477,17240,0.15,0.624,2.88
Notre Dame College,0.081,0.204,0.447,950,6852,20752,0.041,0.889,2.88
Jackson State University,0.173,0.215,0.818,890,8731,10583,0.192,0.313,2.88
University of Bridgeport,0.156,0.231,0.587,925,8021,22723,0.033,0.567,2.88
Arlington Baptist College,0.159,0.231,0.511,0,6980,13437,0,1,2.88
Pennsylvania State University-Penn State Dubois,0.08,0.301,0.5,905,6499,15011,0.04,0.903,2.88
Northeastern Illinois University,0.108,0.039,0.657,910,4693,14895,0.106,0.643,2.87
Mid-Continent University,0.158,0.07,0.711,930,4125,27622,0.008,0.953,2.87
Alverno College,0.109,0.153,0.751,910,5999,15279,0.054,0.819,2.87
Pennsylvania State University-Penn State Lehigh Valley,0.08,0.276,0.387,990,6007,13052,0.019,0.874,2.87
Neumann University,0.093,0.294,0.389,865,6149,23884,0.03,0.903,2.87
Regis College,0.071,0.409,0.492,930,9313,24065,0.084,0.76,2.87
Fisk University,0.233,0.464,0.549,990,6842,19632,0.2,0.982,2.87
Nevada State College,0.091,0.033,0.553,0,5099,11416,0.051,0.661,2.86
Kent State University at East Liverpool,0.129,0.083,0.722,0,5939,10711,0,1,2.86
Missouri Valley College,0.152,0.147,0.56,910,5780,14915,0.093,0.499,2.86
Concordia College-New York,0.092,0.333,0.43,905,6696,18518,0.08,0.695,2.86
Plymouth State University,0.06,0.399,0.243,970,7025,16697,0.074,0.738,2.86
National American University-Bloomington,0.246,0,0.7,0,7019,23062,0.031,1,2.85
Mount Olive College,0.079,0.344,0.598,920,6204,13888,0.016,0.62,2.85
Kent State University at Salem,0.129,0.034,0.708,0,5541,10747,0,1,2.84
University of Maryland Eastern Shore,0.235,0.136,0.654,865,6751,11768,0.23,0.5,2.84
Pennsylvania State University-Penn State Shenango,0.08,0.13,0.739,870,6657,13713,0,0.733,2.83
Pennsylvania State University-Penn State Worthington Scranton,0.08,0.223,0.526,935,6063,12440,0.083,0.881,2.83
Pennsylvania State University-Penn State Hazleton,0.08,0.285,0.515,935,7903,17236,0.17,0.901,2.83
Indiana Institute of Technology,0.123,0.177,0.655,940,6761,22270,0.136,0.648,2.82
Becker College,0.169,0.181,0.481,935,8356,27258,0,0.724,2.82
Pennsylvania State University-Penn State Greater Allegheny,0.08,0.234,0.565,870,6795,16888,0.113,0.828,2.82
Kent State University at Tuscarawas,0.129,0.085,0.653,0,5571,10689,0,1,2.81
Anna Maria College,0.096,0.392,0.471,900,8388,26220,0,0.599,2.81
Albertus Magnus College,0.085,0,0.6,878,6629,24219,0.014,0.866,2.8
Victory University,0.137,0.042,0.9,0,4075,18212,0.016,0.311,2.8
Paine College,0.218,0.055,0.809,775,5961,15823,0.06,0.694,2.8
Long Island University-Brooklyn Campus,0.092,0.072,0.691,875,6633,23482,0.077,0.841,2.8
Savannah State University,0.211,0.086,0.83,0,6897,9642,0.286,1,2.8
Fort Valley State University,0.243,0.106,0.824,820,7004,13307,0.237,0.579,2.8
Glenville State College,0.239,0.121,0.655,890,5881,12335,0.033,0.821,2.8
Morrison University,0.17,0.138,0.738,0,9688,25282,0,1,2.8
Lane College,0.199,0.216,0.923,760,6909,8491,0.243,0.335,2.8
Virginia State University,0.19,0.253,0.665,855,7412,13028,0.102,0.578,2.8
Paul Smiths College of Arts and Science,0.131,0.293,0.433,950,6483,25665,0.045,0.785,2.8
Ferrum College,0.2,0.302,0.626,880,7427,17411,0.1,0.783,2.8
Lasell College,0.068,0.374,0.365,980,7180,26418,0.003,0.74,2.8
College of St Joseph,0.102,0.385,0.707,855,5851,19952,0,0.692,2.8
The University of the Arts,0.104,0.511,0.273,1000,8433,32370,0,0.672,2.8
Paier College of Art Inc,0.129,0.542,0.263,0,4684,13315,0,1,2.8
Maine Maritime Academy,0.04,0.603,0.3,1005,10380,17726,0.544,0.641,2.8
Beacon College,0.076,0.867,0.235,0,7516,35810,0.238,0.581,2.8
Montana State University-Northern,0.13,0.094,0.508,930,4085,11646,0.144,0.64,2.79
Harrisburg University of Science and Technology,0.187,0.107,0.678,0,7833,20798,0.714,1,2.79
Western Connecticut State University,0.094,0.2,0.329,990,5982,14235,0.052,0.624,2.79
EDP University of Puerto Rico Inc-San Juan,0.208,0,0.947,0,3594,7483,0.377,0.848,2.78
Kent State University at Stark,0.129,0.056,0.538,0,4804,9131,0,1,2.78
Maine College of Art,0.086,0.176,0.382,0,8590,28519,0,0.947,2.78
Universidad Metropolitana,0.176,0.013,0.964,0,1816,8316,0.02,0.466,2.77
Texas Southern University,0.216,0.054,0.79,835,6718,10196,0.189,0.388,2.77
MacMurray College,0.164,0.248,0.675,0,8455,15870,0.011,0.707,2.77
Daniel Webster College,0.107,0.291,0.421,940,7720,25838,0.125,0.66,2.77
Alabama State University,0.19,0.084,0.789,780,7025,11247,0.197,0.508,2.76
Nyack College,0.158,0.327,0.631,900,6763,18337,0.005,0.964,2.76
Crossroads Bible College,0.183,0.111,0.727,0,6039,13461,0,1,2.75
Mississippi Valley State University,0.186,0.124,0.833,825,5867,10595,0.136,0.161,2.75
Inter American University of Puerto Rico-Barranquitas,0.289,0.135,0.986,0,2727,7251,0.049,0.845,2.75
Boston Baptist College,0.05,0.167,0.389,915,6816,22113,0,0.529,2.75
Mitchell College,0.138,0.298,0.458,0,6261,26583,0,0.901,2.75
Lynn University,0.085,0.31,0.194,0,6948,33091,0.025,1,2.75
Kendall College,0.107,0.329,0.53,0,7023,28274,0,0.979,2.75
FIDM/Fashion Institute of Design & Merchandising-Los Angeles,0.109,0.429,0.444,0,6600,34872,0,0.632,2.75
University of the Virgin Islands,0.121,0.125,0.705,770,4245,10051,0.173,0.953,2.73
Southern Connecticut State University,0.077,0.173,0.381,935,6419,11372,0.055,0.718,2.73
Indiana University-Northwest,0.155,0.064,0.478,890,6351,13379,0.046,0.761,2.72
CUNY John Jay College of Criminal Justice,0.095,0.21,0.632,940,4602,5222,0.008,0.475,2.72
Franklin Pierce University,0.075,0.409,0.291,960,8179,26895,0.056,0.933,2.72
University of Arkansas at Monticello,0.27,0.129,0.736,0,5030,9578,0.092,1,2.71
American Baptist College,0,0,0.643,0,4945,13016,0,1,2.7
Chowan University,0.195,0.133,0.739,800,7005,17919,0.076,0.596,2.7
Florida Memorial University,0.243,0.138,0.7,0,9439,11980,0.135,0.332,2.7
Rust College,0.32,0.173,0.882,840,5139,8166,0.387,0.456,2.7
Mercy College,0.089,0.2,0.735,0,5993,14376,0.038,0.605,2.7
Saint Louis Christian College,0.126,0.304,0.68,910,7454,11256,0,0.331,2.7
Five Towns College,0.159,0.339,0.445,895,6999,23209,0,0.612,2.7
Thomas College,0.147,0.354,0.607,840,7417,18806,0.064,0.925,2.7
Curry College,0.094,0.365,0.258,915,9714,30881,0.032,0.718,2.7
Centenary College,0.067,0.485,0.33,910,8143,23265,0.049,0.877,2.7
Kent State University at Ashtabula,0.129,0.063,0.747,0,5530,10740,0,1,2.68
Marygrove College,0.073,0.014,0.837,800,9253,14059,0.137,0.454,2.67
East-West University,0.305,0.055,0.837,0,2197,27882,0.115,1,2.67
Dominican College of Blauvelt,0.098,0.233,0.528,885,11300,21591,0.069,0.707,2.67
Robert Morris University Illinois,0.054,0.687,0.707,0,7153,17929,0.075,0.331,2.67
Pennsylvania State University-Penn State Schuylkill,0.08,0.223,0.619,880,6796,15411,0.147,0.835,2.66
Kent State University at Trumbull,0.129,0.08,0.723,0,5532,11043,0,1,2.65
Edward Waters College,0.25,0.074,0.857,760,6925,12849,0.117,0.227,2.64
Northern New Mexico College,0.169,0,0.726,0,3104,4181,0.157,1,2.63
Kentucky State University,0.25,0.042,0.695,870,7159,9194,0.153,0.303,2.63
Bloomfield College,0.155,0.149,0.778,860,8897,17849,0.073,0.508,2.63
New England College,0.104,0.358,0.402,0,8777,27967,0.017,0.767,2.63
Coppin State University,0.221,0.057,0.725,855,6792,9920,0.039,0.535,2.62
Inter American University of Puerto Rico-Aguadilla,0.289,0.08,0.965,0,2603,6534,0.228,0.658,2.62
The University of Texas at Brownsville,0.178,0.078,0.787,0,3679,7501,0.148,1,2.61
Bennett College for Women,0.139,0.217,0.905,0,12485,19796,0.148,0.628,2.61
Carolina Christian College,0.142,0,1,0,6000,6186,0,1,2.6
Paul Quinn College,0.234,0,0.873,880,7937,10238,0.125,0.435,2.6
Arkansas Baptist College,0.336,0,0.764,0,4012,17309,0,1,2.6
Talladega College,0.367,0.135,0.57,0,6730,13759,0.235,1,2.6
Mount Ida College,0.123,0.334,0.443,858,9791,26859,0.02,0.754,2.6
Nichols College,0.145,0.45,0.435,0,8805,25798,0.007,1,2.58
Trinity College of Florida,0.14,0.444,0.6,0,4961,15058,0,0.352,2.56
EDP University of Puerto Rico Inc-San Sebastian,0.208,0,0.922,0,9049,8041,0.14,1,2.55
Wiley College,0.222,0.015,0.984,0,6529,10225,0.051,1,2.53
Bowie State University,0.16,0.108,0.586,890,6264,11919,0.108,0.5,2.53
Newbury College-Brookline,0.126,0.281,0.591,0,7704,24411,0,1,2.53
Kent State University at Geauga,0.129,0.056,0.483,0,5843,10626,0,1,2.52
Virginia Union University,0.278,0.178,0.69,390,6595,18760,0.118,0.746,2.52
Sitting Bull College,0,0,0.907,0,0,-231,0,1,2.5
University of Puerto Rico-Utuado,0.13,0.008,0.883,875,1850,6821,0,0.865,2.5
Le Moyne-Owen College,0.216,0.012,0.847,760,3452,11029,0.093,0.402,2.5
Miles College,0.195,0.043,0.881,0,6356,15031,0.158,1,2.5
Western New Mexico University,0.184,0.102,0.719,0,5488,9565,0.07,1,2.5
Cheyney University of Pennsylvania,0.282,0.108,0.852,0,7128,13165,0.122,1,2.5
Lyndon State College,0.115,0.151,0.46,930,7216,12570,0.059,0.987,2.5
Southern Vermont College,0.176,0.191,0.626,925,7185,20070,0,0.782,2.5
University of Advancing Technology,0.12,0.28,0.547,1075,10352,30092,0.974,0.781,2.5
American International College,0.08,0.287,0.529,920,7545,18911,0.051,0.704,2.5
Carlos Albizu University-Miami,0.16,0.389,0.75,0,7456,25848,0,0.611,2.5
Morris College,0.288,0.157,0.926,0,5353,12401,0.168,1,2.49
Post University,0.169,0.195,0.721,835,7897,28627,0.005,0.774,2.48
Universidad Politecnica de Puerto Rico-Hato Rey Campus,0.145,0.066,0.786,0,3685,14686,0.816,0.946,2.45
Calumet College of Saint Joseph,0.179,0.226,0.608,805,5352,10617,0.021,0.369,2.45
Southern University at New Orleans,0.155,0,0.875,890,1318,5911,0.069,0.202,2.4
Central State University,0.312,0.121,0.889,760,6632,10434,0.098,0.323,2.4
SUNY College of Agriculture and Technology at Cobleskill,0.169,0.385,0.525,965,6291,15384,0.113,0.358,2.4
