Row Labels,Max of Federal Loan 3-Year Default Rate,Max of 2012 4-Year Grad Rate,Max of % Pell Recipients Among Freshmen,Max of Estimated Median SAT / ACT,Max of Average Student Loan (all sources),Max of Average Net Price After Grants,"Max of % Degrees Awarded in Science, Technology, Engineering, and Math",Max of % Admitted,Max of Average High School GPA Among College Freshmen
Spelman College,0.126,0.638,0.49,1025,7478,29562,0.212,0.392,3.63
Asbury University,0.067,0.645,0.377,1105,8190,19409,0.075,0.631,3.63
Ursinus College,0.035,0.709,0.241,0,7342,31492,0.296,0.702,3.63
Emerson College,0.02,0.794,0.192,1225,7636,30868,0,0.484,3.63
University of Alabama in Huntsville,0.084,0.16,0.316,1165,5841,12980,0.399,0.637,3.62
Michigan Technological University,0.05,0.291,0.257,1185,6730,16045,0.746,0.737,3.62
San Diego State University,0.059,0.319,0.305,1085,5626,9214,0.114,0.3,3.62
East Carolina University,0.046,0.328,0.334,1035,6449,11112,0.174,0.695,3.62
Towson University,0.058,0.39,0.217,1080,6449,13566,0.109,0.542,3.62
Oklahoma Baptist University,0.11,0.424,0.385,1105,6154,16039,0.042,0.659,3.62
The Master's College and Seminary,0.044,0.481,0.38,1100,5959,23868,0.099,0.695,3.62
University of California-Santa Cruz,0.042,0.516,0.422,1135,6063,15443,0.241,0.638,3.62
Pacific University,0.037,0.539,0.321,1105,7041,27118,0.149,0.751,3.62
John Brown University,0.037,0.583,0.35,1165,6082,15486,0.082,0.725,3.62
Pacific Lutheran University,0.043,0.6,0.28,1095,6400,24067,0.146,0.766,3.62
Kalamazoo College,0.015,0.631,0.214,1245,6717,26769,0.3,0.688,3.62
University of Delaware,0.043,0.669,0.121,1205,7654,14748,0.174,0.609,3.62
Taylor University,0.033,0.693,0.223,1185,7132,25183,0.095,0.838,3.62
Christian Life College,0,0,0.4,0,6801,13489,0,0.889,3.61
Western Carolina University,0.09,0.279,0.385,1040,5512,10893,0.132,0.388,3.61
University of Iowa,0.041,0.469,0.18,1165,5442,14928,0.132,0.798,3.61
The KingÍs College,0.038,0.526,0.377,1190,7211,32522,0,0.666,3.61
Michigan State University,0.059,0.53,0.239,1165,6555,13836,0.215,0.729,3.61
George Fox University,0.031,0.537,0.399,1110,7526,23934,0.124,0.796,3.61
Hanover College,0.034,0.63,0.296,1125,10990,20975,0.185,0.675,3.61
Luther College,0.025,0.684,0.214,1205,6613,24566,0.203,0.721,3.61
The College of Wooster,0.036,0.698,0.212,1225,5679,24589,0.271,0.607,3.61
Mount Carmel College of Nursing,0.033,0.708,0.222,1030,6608,18527,0,0.754,3.61
Sewanee-The University of the South,0.042,0.74,0.189,1235,5109,24172,0.138,0.614,3.61
Santa Clara University,0.029,0.787,0.127,1250,6798,36750,0.216,0.579,3.61
University of Puerto Rico-Rio Piedras,0.13,0,0.661,1225,2876,2708,0.128,0.244,3.6
University of South Florida-St. Petersburg,0.1,0.155,0.338,1070,7695,12476,0,0.456,3.6
University of the Sciences,0.037,0.21,0.296,1195,11231,31919,0.156,0.644,3.6
Milwaukee School of Engineering,0.049,0.359,0.265,1205,7809,24681,0.764,0.64,3.6
North Greenville University,0.06,0.385,0.416,1105,5927,15901,0.062,0.58,3.6
Purdue University-Main Campus,0.053,0.393,0.193,1170,6707,12969,0.366,0.684,3.6
Lyon College,0.084,0.438,0.487,1165,5396,13772,0.28,0.647,3.6
Stony Brook University,0.054,0.474,0.359,1230,5936,12700,0.295,0.392,3.6
SUNY College at Oneonta,0.073,0.525,0.264,1100,6368,14314,0.117,0.434,3.6
Covenant College,0.059,0.549,0.245,1178,6338,22105,0.098,0.6,3.6
Seattle Pacific University,0.034,0.563,0.271,1148,7227,26047,0.127,0.703,3.6
North Central College,0.062,0.565,0.235,1125,7010,22434,0.1,0.646,3.6
Linfield College-McMinnville Campus,0.047,0.596,0.301,1110,6766,23487,0.11,0.762,3.6
Calvin College,0.029,0.603,0.291,1185,8247,24745,0.186,0.754,3.6
Ave Maria University,0.148,0.613,0.346,1090,6283,18635,0.182,0.478,3.6
Cooper Union for the Advancement of Science and Art,0.08,0.626,0.192,1380,2945,15374,0.548,0.077,3.6
Wagner College,0.047,0.633,0.245,1165,8166,27410,0.089,0.711,3.6
United States Merchant Marine Academy,0.01,0.665,0.091,0,3524,3972,0.516,1,3.6
SUNY at Binghamton,0.045,0.677,0.252,1285,6578,14776,0.265,0.401,3.6
Sarah Lawrence College,0.023,0.685,0.158,0,5448,29666,0,0.624,3.6
Syracuse University,0.048,0.689,0.25,1160,8583,28419,0.188,0.494,3.6
Oberlin College,0.007,0.714,0.092,1370,5742,35790,0.209,0.296,3.6
New York University,0.036,0.788,0.225,1360,8359,37656,0.063,0.323,3.6
Daemen College,0.078,0.272,0.428,0,7539,16357,0.019,0.599,3.59
University of North Carolina at Greensboro,0.067,0.294,0.471,1020,5530,9628,0.074,0.651,3.59
University of St Thomas,0.075,0.32,0.389,1118,5877,21736,0.155,0.784,3.59
Lenoir-Rhyne University,0.076,0.337,0.503,1000,5039,17799,0.089,0.718,3.59
Colorado State University-Fort Collins,0.048,0.379,0.25,1125,6054,12230,0.233,0.759,3.59
Bryan College-Dayton,0.077,0.413,0.423,1070,5420,15546,0.047,0.572,3.59
LeTourneau University,0.093,0.421,0.322,1190,10805,22565,0.183,0.559,3.59
University of Oregon,0.057,0.439,0.249,1105,6562,15403,0.091,0.788,3.59
Christian Brothers University,0.096,0.441,0.513,1090,7334,13748,0.398,0.479,3.59
Maryville University of Saint Louis,0.056,0.524,0.24,1145,6235,23415,0.053,0.673,3.59
Concordia College at Moorhead,0.021,0.629,0.313,1145,9623,21686,0.156,0.946,3.59
University of Maryland-Baltimore County,0.053,0.369,0.208,1210,6522,13937,0.383,0.608,3.58
Pratt Institute-Main,0.094,0.45,0.226,1150,6858,35861,0,0.654,3.58
Corban University,0.045,0.452,0.421,1069,6691,23124,0.014,0.433,3.58
College of the Ozarks,0,0.471,0.664,1050,5441,11850,0.063,0.089,3.58
Bradley University,0.038,0.551,0.279,1145,6526,24155,0.218,0.702,3.58
Piedmont International University,0.069,0.2,0.611,0,4747,13758,0,1,3.57
University of South Carolina-Aiken,0.055,0.212,0.446,1000,6608,10707,0.103,0.503,3.57
Texas Lutheran University,0.096,0.271,0.432,1020,6820,17960,0.149,0.649,3.57
Newman University,0.056,0.287,0.394,1105,6052,15918,0.127,0.435,3.57
Missouri State University-Springfield,0.085,0.313,0.354,1105,5101,13107,0.093,0.831,3.57
St. Catherine University,0.068,0.39,0.537,1110,7707,24055,0.064,0.557,3.57
Houghton College,0.047,0.578,0.414,1145,6694,21268,0.106,0.716,3.57
